symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21_current,ema_50_current,ema_200_current,golden_cross,death_cross,current_price,golden_st,death_st,cross_days_ago_st,status
V,death_cross,0,6.5,636.1,,336.82,337.09,False,True,327.1,False,False,,success
FCX,golden_cross,0,14.8,63.9,,41.61,41.52,True,False,44.61,False,False,,success
GEHC,golden_cross,0,4.2,38.1,,76.16,76.15,True,False,82.455,False,False,,success
BRX,death_cross,0,2.5,7.8,,26.5,26.53,False,True,25.26,False,False,,success
GLBE,golden_cross,0,1.6,7.0,,36.69,36.68,True,False,40.5,False,False,,success
SRAD,death_cross,0,2.1,6.8,,24.45,24.48,False,True,22.81,False,False,,success
UBSI,golden_cross,0,0.7,5.3,,36.75,36.74,True,False,38.035,False,False,,success
JEPI,golden_cross,0,5.2,,,56.92,56.91,True,False,57.46,False,False,,success
SCHD,golden_cross,0,17.8,,,27.14,27.13,True,False,27.75,False,False,,success
SGOV,death_cross,0,16.1,,,100.53,100.54,False,True,100.43,False,False,,success
