symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21_current,ema_50_current,ema_200_current,golden_cross,death_cross,current_price,golden_st,death_st,cross_days_ago_st,status
APOpA,death_cross,0,0.3,,,72.64,72.69,False,True,69.37,False,False,,success
KBWD,death_cross,0,0.3,,,13.99,14.0,False,True,13.91,False,False,,success
TBLL,death_cross,0,0.2,,,105.67,105.67,False,True,105.61,False,False,,success
TUSI,death_cross,0,0.1,,,25.38,25.38,False,True,25.365,False,False,,success
AMP,golden_cross,0,0.6,48.1,,494.48,494.16,True,False,527.19,False,False,,success
DDOG,death_cross,0,4.9,45.3,,139.19,139.43,False,True,129.32,False,False,,success
BNTX,golden_cross,0,1.1,28.5,,104.66,104.46,True,False,113.75,False,False,,success
DRS,golden_cross,0,1.2,10.9,,38.41,38.37,True,False,41.06,False,False,,success
PLNT,death_cross,0,1.7,7.6,,101.74,101.81,False,True,91.04,False,False,,success
LTH,golden_cross,0,2.1,6.4,,27.39,27.37,True,False,29.17,False,False,,success
NEU,death_cross,0,0.1,6.3,,705.8,706.65,False,True,670.79,False,False,,success
AVT,golden_cross,0,1.1,5.1,,51.1,50.99,True,False,62.39,False,False,,success
COMT,golden_cross,0,0.2,,,26.21,26.21,True,False,27.4241,False,False,,success
HOOX,death_cross,0,0.2,,,24.01,24.02,False,True,15.41,False,False,,success
KKRpD,death_cross,0,0.6,,,51.72,51.74,False,True,48.94,False,False,,success
