symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21_current,ema_50_current,ema_200_current,golden_cross,death_cross,current_price,golden_st,death_st,cross_days_ago_st,status
ADSK,death_cross,0,1.5,58.9,,295.77,296.41,False,True,270.63,False,False,,success
SWK,golden_cross,0,1.6,12.8,,74.29,74.19,True,False,82.9,False,False,,success
XP,death_cross,0,6.1,8.9,,17.37,17.38,False,True,17.01,False,False,,success
HQY,death_cross,0,1.0,7.2,,94.8,94.82,False,True,84.28,False,False,,success
AXTA,golden_cross,0,3.6,7.0,,31.04,31.03,True,False,33.07,False,False,,success
SITE,golden_cross,0,0.6,6.5,,130.42,130.02,True,False,147.8,False,False,,success
FAF,death_cross,0,0.7,6.2,,62.53,62.61,False,True,59.38,False,False,,success
ICSH,golden_cross,0,1.4,,,50.62,50.62,True,False,50.625,False,False,,success
SCHP,death_cross,0,4.4,,,26.68,26.68,False,True,26.59,False,False,,success
UDN,death_cross,0,0.2,,,18.43,18.44,False,True,18.09,False,False,,success
WCLD,death_cross,0,0.2,,,34.97,35.0,False,True,33.86,False,False,,success
PM,golden_cross,0,5.7,257.1,,157.81,157.59,True,False,165.85,False,False,,success
MSFL,death_cross,0,0.2,,,27.9,27.96,False,True,25.67,False,False,,success
