symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21_current,ema_50_current,ema_200_current,golden_cross,death_cross,current_price,golden_st,death_st,cross_days_ago_st,status
GWRE,death_cross,0,1.0,16.8,,215.71,215.84,False,True,199.92,False,False,,success
STN,death_cross,0,0.3,10.6,,100.37,100.43,False,True,94.2,False,False,,success
OLLI,death_cross,0,1.2,6.6,,120.25,120.26,False,True,107.97,False,False,,success
BNDX,death_cross,0,3.5,,,49.37,49.4,False,True,48.23,False,False,,success
DUSB,death_cross,0,0.3,,,50.77,50.77,False,True,50.6,False,False,,success
ETHE,death_cross,0,8.0,,,27.32,27.33,False,True,24.57,False,False,,success
SGOV,death_cross,0,15.8,,,100.52,100.52,False,True,100.28,False,False,,success
SHV,death_cross,0,2.5,,,110.28,110.29,False,True,110.02,False,False,,success
ACGL,golden_cross,0,2.3,35.0,,91.95,91.83,True,False,96.2,False,False,,success
KRG,golden_cross,0,1.9,5.1,,22.74,22.72,True,False,23.75,False,False,,success
