symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_50_current,ema_200_current,golden_cross,death_cross,current_price,status
PCAR,golden_cross,0,3.2,55.4,99.12,98.99,True,False,103.97,success
MTB,golden_cross,0,1.0,29.2,187.63,187.62,True,False,190.22,success
CTRA,golden_cross,0,8.3,20.4,25.04,24.98,True,False,26.95,success
AKAM,golden_cross,0,3.6,12.9,81.46,81.33,True,False,87.71,success
GDXY,golden_cross,0,0.6,,16.03,16.03,True,False,16.38,success
RETL,golden_cross,0,0.4,,8.65,8.64,True,False,9.04,success
ARKB,death_cross,0,5.7,,34.06,34.12,False,True,28.39,success
BITB,death_cross,0,3.2,,55.74,55.84,False,True,46.47,success
BRRR,death_cross,0,0.5,,28.96,29.01,False,True,24.16,success
BTC,death_cross,0,2.5,,45.39,45.44,False,True,37.85,success
BTCO,death_cross,0,0.2,,102.22,102.41,False,True,85.28,success
CSHI,death_cross,0,0.2,,49.78,49.78,False,True,49.71,success
EZBC,death_cross,0,0.3,,59.34,59.45,False,True,49.5,success
FBTC,death_cross,0,7.1,,89.39,89.56,False,True,74.52,success
FEPI,death_cross,0,0.2,,46.58,46.6,False,True,45.88,success
HODL,death_cross,0,2.3,,28.99,29.03,False,True,24.2,success
IBHG,death_cross,0,0.1,,22.37,22.38,False,True,22.27,success
IBIT,death_cross,0,69.8,,58.2,58.31,False,True,48.5,success
MNTSW,death_cross,0,0.2,,0.03,0.03,False,True,0.019501,success
HIMS,death_cross,0,24.9,9.1,44.18,44.29,False,True,37.51,success
HSIC,golden_cross,0,1.6,8.8,69.43,69.36,True,False,73.11,success
VNT,death_cross,0,1.2,5.3,38.44,38.49,False,True,35.85,success
