symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
HLN,death,0,7.6,42.6,9.74,9.98,9.99,9.49
TLN,golden,0,0.7,16.5,342.58,342.8,342.28,369.67
GME,golden,0,6.7,11.2,24.27,23.79,23.75,25.41
HMY,death,0,5.8,10.5,16.79,17.45,17.46,16.46
SSB,golden,0,0.9,9.3,96.67,96.41,96.39,97.84
VOYA,golden,0,1.2,7.4,73.72,72.05,71.94,81.72
LTH,death,0,3.0,6.1,27.4,27.33,27.34,26.17
DFCF,death,0,1.1,,42.45,42.52,42.52,42.38
CSHI,golden,0,0.4,,49.78,49.75,49.74,49.825
TBIL,golden,0,2.5,,49.94,49.93,49.93,49.99
