symbol,signal_type,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
ETN,death_cross,3.1,125.7,,344.45,344.5,322.17
TAK,golden_cross,2.8,49.2,,14.49,14.47,15.65
ON,golden_cross,9.4,22.2,,52.26,52.19,54.93
EHC,death_cross,0.9,10.8,,113.27,113.42,107.52
SEIC,golden_cross,0.6,10.5,,82.75,82.71,84.85
MNSO,death_cross,0.7,5.9,,20.45,20.45,19.63
APOpA,golden_cross,0.2,,,72.28,72.18,77.13
AMZU,death_cross,1.8,,,36.15,36.16,35.52
FLRN,death_cross,0.9,,,30.77,30.77,30.72
SJNK,death_cross,3.9,,,25.34,25.34,25.3
SPTL,death_cross,7.9,,,26.81,26.82,26.59
USRT,death_cross,0.5,,,57.67,57.69,57.18
COMT,death_cross,0.3,,,26.23,26.26,25.0
